DATE,SALINITY,SALINITY_UNITS
2020-10-13,33.0,ppt
2020-10-14,33.0,ppt
2020-10-15,34.0,ppt
2020-10-16,34.0,ppt
2020-10-17,34.0,ppt
2020-10-18,34.0,ppt
2020-10-19,34.0,ppt
2020-10-20,33.0,ppt
2020-10-21,32.0,ppt
2020-10-22,31.0,ppt
2020-10-23,29.0,ppt
2020-10-24,29.0,ppt
2020-10-25,29.0,ppt
2020-10-26,29.0,ppt
2020-10-27,27.0,ppt
2020-10-28,27.0,ppt
2020-10-29,29.0,ppt
2020-10-30,29.0,ppt
2020-10-31,29.0,ppt
2020-11-01,29.0,ppt
2020-11-02,26.0,ppt
2020-11-03,22.0,ppt
2020-11-04,26.0,ppt
2020-11-05,28.0,ppt
2020-11-06,30.0,ppt
2020-11-07,30.0,ppt
2020-11-08,28.0,ppt
2020-11-09,26.0,ppt
2020-11-10,24.0,ppt
2020-11-11,21.0,ppt
2020-11-12,21.0,ppt
2020-11-13,22.0,ppt
2020-11-14,22.0,ppt
2020-11-15,23.0,ppt
2020-11-16,24.0,ppt
2020-11-17,22.0,ppt
2020-11-18,18.0,ppt
2020-11-19,18.0,ppt
2020-11-20,21.0,ppt
2020-11-21,22.0,ppt
2020-11-22,24.0,ppt
2020-11-23,24.0,ppt
2020-11-24,22.0,ppt
2020-11-25,23.0,ppt
2020-11-26,25.0,ppt
2020-11-27,25.0,ppt
2020-12-12,26.0,ppt
2020-12-13,27.0,ppt
2020-12-14,27.0,ppt
2020-12-15,27.0,ppt
2020-12-16,28.0,ppt
2020-12-17,28.0,ppt
2020-12-18,28.0,ppt
2020-12-19,27.0,ppt
2020-12-20,27.0,ppt
2020-12-21,28.0,ppt
2020-12-22,28.0,ppt
2020-12-23,27.0,ppt
2020-12-24,29.0,ppt
2020-12-25,29.0,ppt
2020-12-26,29.0,ppt
2020-12-27,29.0,ppt
2020-12-28,29.0,ppt
2020-12-29,29.0,ppt
2020-12-30,29.0,ppt
2020-12-31,30.0,ppt
2021-01-01,30.0,ppt
2021-01-02,30.0,ppt
2021-01-03,29.0,ppt
2021-01-04,29.0,ppt
2021-01-05,29.0,ppt
2021-01-06,29.0,ppt
2021-01-07,30.0,ppt
2021-01-08,30.0,ppt
2021-01-09,30.0,ppt
